Bat_ID,Roost,Site_ID,Latitude,Longitude,Species,Forearm,Weight,Sex,Age,ReproStatus
702,Yes,2,-25.98668,31.81784,Chaerephon pumilus,36.54,11,F,A,PL
705,Yes,2,-25.98668,31.81784,Chaerephon pumilus,38.59,11,F,A,PL
323,No,21,-25.99075,31.75509,Chaerephon pumilus,37.32,10.5,M,A,R
458,No,19,-26.007577,31.799716,Chaerephon pumilus,36.37,11,M,A,R
485,No,20,-25.95565,31.6984,Chaerephon pumilus,37.35,12,M,A,R
486,No,20,-25.95565,31.6984,Chaerephon pumilus,37.29,11.5,F,A,PL
517,Yes,3,-26.20377,31.9447,Chaerephon pumilus,38.21,11.5,M,A,NR
556,No,28,-26.00179,31.84343,Chaerephon pumilus,37.04,9.5,F,A,PL
557,No,28,-26.00179,31.84343,Chaerephon pumilus,35.49,9.5,F,A,P
602,Yes,8,-26.42279,31.84742,Chaerephon pumilus,38.13,11.5,F,A,P
610,Yes,16,-26.36473,31.7491,Chaerephon pumilus,35.73,11.5,F,A,NR
611,Yes,16,-26.36473,31.7491,Chaerephon pumilus,39.03,14,M,A,R
612,Yes,16,-26.36473,31.7491,Chaerephon pumilus,37.59,12,F,A,PL
613,Yes,16,-26.36473,31.7491,Chaerephon pumilus,37.54,11.5,F,A,PL
668,Yes,6,-26.144605,31.983402,Chaerephon pumilus,37.26,11,F,A,PL
671,Yes,16,-26.36473,31.7491,Chaerephon pumilus,35.27,10.5,F,A,PL
672,Yes,16,-26.36473,31.7491,Chaerephon pumilus,37.39,12,F,A,PL
679,Yes,16,-26.36473,31.7491,Chaerephon pumilus,37.94,11,F,A,PL
689,Yes,1,-25.970866,31.709138,Chaerephon pumilus,35.32,10,M,A,NR
699,Yes,2,-25.98668,31.81784,Chaerephon pumilus,36.34,9.5,M,A,R
701,Yes,2,-25.98668,31.81784,Chaerephon pumilus,37.95,11.5,F,A,PL
704,Yes,2,-25.98668,31.81784,Chaerephon pumilus,39.19,11,F,A,PL
706,Yes,2,-25.98668,31.81784,Chaerephon pumilus,37.21,12,M,A,NR
708,Yes,2,-25.98668,31.81784,Chaerephon pumilus,37.99,10,M,A,R
358,Yes,15,-26.212584,31.932764,Chaerephon pumilus,38.93,12,F,A,PL
372,Yes,14,-26.206187,31.930258,Chaerephon pumilus,38.64,11,F,A,PL
423,No,18,-25.975048,31.704712,Chaerephon pumilus,38.04,11.5,M,A,R
429,Yes,7,-26.144222,31.980806,Chaerephon pumilus,36.31,8,M,J,NR
447,No,26,-26.212584,31.932764,Chaerephon pumilus,36.28,8,F,J,NR
451,No,26,-26.212584,31.932764,Chaerephon pumilus,37.49,10,F,A,PL
453,No,26,-26.212584,31.932764,Chaerephon pumilus,39.74,10,F,J,NR
454,No,26,-26.212584,31.932764,Chaerephon pumilus,39.42,10,M,J,NR
663,Yes,6,-26.144605,31.983402,Chaerephon pumilus,39.07,10.5,F,A,PL
677,Yes,16,-26.36473,31.7491,Chaerephon pumilus,37.34,10.5,M,A,NR
690,Yes,1,-25.970866,31.709138,Chaerephon pumilus,36.82,10,F,A,PL
700,Yes,2,-25.98668,31.81784,Chaerephon pumilus,37.48,10,M,A,R
707,Yes,2,-25.98668,31.81784,Chaerephon pumilus,37.89,10.5,F,A,PL
709,Yes,2,-25.98668,31.81784,Chaerephon pumilus,36.39,9.5,F,A,NR
319,No,22,-26.145021,31.982002,Chaerephon pumilus,37.73,10,M,A,R
377,No,27,-26.21564,31.921419,Chaerephon pumilus,38.9,12,F,A,PL
378,Yes,10,-26.154391,31.980234,Chaerephon pumilus,36.79,8,M,A,R
402,No,23,-26.1221,31.70464,Chaerephon pumilus,37.19,9,M,A,R
425,Yes,7,-26.144222,31.980806,Chaerephon pumilus,37.48,9,M,A,R
442,No,26,-26.212584,31.932764,Chaerephon pumilus,38.9,12,M,A,R
450,No,26,-26.212584,31.932764,Chaerephon pumilus,37.04,9,M,A,R
452,No,26,-26.212584,31.932764,Chaerephon pumilus,37.14,12,M,A,R
595,Yes,11,-26.040707,31.804985,Chaerephon pumilus,38.12,9.5,F,A,PL
649,Yes,12,-26.181698,31.999684,Chaerephon pumilus,37.31,11.5,M,A,NR
655,Yes,9,-26.41844,31.84471,Chaerephon pumilus,35.63,10.5,M,A,NR
692,Yes,1,-25.970866,31.709138,Chaerephon pumilus,36.29,9.5,F,A,PL
320,No,22,-26.145021,31.982002,Chaerephon pumilus,36.65,10,M,A,R
361,Yes,15,-26.212584,31.932764,Chaerephon pumilus,38.26,10,F,A,PL
376,No,27,-26.21564,31.921419,Chaerephon pumilus,37.98,11,F,A,PL
424,Yes,7,-26.144222,31.980806,Chaerephon pumilus,38.03,10,F,A,NR
426,Yes,7,-26.144222,31.980806,Chaerephon pumilus,36.68,9.5,F,A,PL
430,Yes,7,-26.144222,31.980806,Chaerephon pumilus,37.24,9.5,M,A,NR
431,Yes,7,-26.144222,31.980806,Chaerephon pumilus,38.25,9,M,J,NR
443,No,26,-26.212584,31.932764,Chaerephon pumilus,37.1,10,M,A,R
446,No,26,-26.212584,31.932764,Chaerephon pumilus,37.52,10.5,M,A,R
