"Site_ID","Roost","Latitude","Longitude","PropSav120","SavEdge120","SavShape120","SavSplit120","PropWat120","PropRur120","PropSug120","PropSav2000","SavEdge2000","SavShape2000","SavSplit2000","PropWat2000","PropRur2000","PropSug2000"
2,"Yes",-25.98668,31.81784,0.09375,0.00625,1.2,113.7777778,0,0,0.90625,0.40333711,0.003292478,1.392366762,9.679632102,0.002935421,0.004325883,0.589401586
2,"Yes",-25.98668,31.81784,0.09375,0.00625,1.2,113.7777778,0,0,0.90625,0.40333711,0.003292478,1.392366762,9.679632102,0.002935421,0.004325883,0.589401586
3,"Yes",-26.20506,31.94486,0.472222222,0.021296296,1.375,4.755963303,0,0.013888889,0.513888889,0.195746215,0.005125828,1.345583246,93.29707372,0.002162942,0.076166444,0.7259244
8,"Yes",-26.42279,31.84742,0.140625,0.011458333,1.25,63.01538462,0,0.859375,0,0.540889896,0.005266591,1.172528259,3.97578133,0,0.457204655,0.001905449
16,"Yes",-26.26473,31.7491,1,0.015740741,1,1,0,0,0,0.881693649,0.003175592,1.222307692,1.311381987,0,0.09469697,0.023609381
16,"Yes",-26.26473,31.7491,1,0.015740741,1,1,0,0,0,0.881693649,0.003175592,1.222307692,1.311381987,0,0.09469697,0.023609381
16,"Yes",-26.26473,31.7491,1,0.015740741,1,1,0,0,0,0.881693649,0.003175592,1.222307692,1.311381987,0,0.09469697,0.023609381
16,"Yes",-26.26473,31.7491,1,0.015740741,1,1,0,0,0,0.881693649,0.003175592,1.222307692,1.311381987,0,0.09469697,0.023609381
6,"Yes",-26.1446,31.9834,0.28125,0.017708333,1.125,19.88349515,0,0.625,0.09375,0.694149758,0.004768771,1.502466693,2.137588886,0.003398908,0.006488825,0.295962509
16,"Yes",-26.26473,31.7491,1,0.015740741,1,1,0,0,0,0.881693649,0.003175592,1.222307692,1.311381987,0,0.09469697,0.023609381
16,"Yes",-26.26473,31.7491,1,0.015740741,1,1,0,0,0,0.881693649,0.003175592,1.222307692,1.311381987,0,0.09469697,0.023609381
16,"Yes",-26.26473,31.7491,1,0.015740741,1,1,0,0,0,0.881693649,0.003175592,1.222307692,1.311381987,0,0.09469697,0.023609381
1,"Yes",-25.97086,31.70913,0.902777778,0.016666667,1.058823529,1.226982249,0,0.097222222,0,0.702904522,0.005482885,1.404153487,2.36373288,0.155062313,0.061540838,0.080492327
2,"Yes",-25.98668,31.81784,0.09375,0.00625,1.2,113.7777778,0,0,0.90625,0.40333711,0.003292478,1.392366762,9.679632102,0.002935421,0.004325883,0.589401586
2,"Yes",-25.98668,31.81784,0.09375,0.00625,1.2,113.7777778,0,0,0.90625,0.40333711,0.003292478,1.392366762,9.679632102,0.002935421,0.004325883,0.589401586
2,"Yes",-25.98668,31.81784,0.09375,0.00625,1.2,113.7777778,0,0,0.90625,0.40333711,0.003292478,1.392366762,9.679632102,0.002935421,0.004325883,0.589401586
2,"Yes",-25.98668,31.81784,0.09375,0.00625,1.2,113.7777778,0,0,0.90625,0.40333711,0.003292478,1.392366762,9.679632102,0.002935421,0.004325883,0.589401586
2,"Yes",-25.98668,31.81784,0.09375,0.00625,1.2,113.7777778,0,0,0.90625,0.40333711,0.003292478,1.392366762,9.679632102,0.002935421,0.004325883,0.589401586
2,"Yes",-25.98668,31.81784,0.09375,0.00625,1.2,113.7777778,0,0,0.90625,0.40333711,0.003292478,1.392366762,9.679632102,0.002935421,0.004325883,0.589401586
15,"Yes",-26.2115,31.93197,0.027777778,0.002777778,1,1296,0,0.958333333,0.013888889,0.277011021,0.00507433,1.322964311,22.37470464,0.002111443,0.154856319,0.566021217
14,"Yes",-26.20618,31.9302,0,0,0,0,0,1,0,0.243867244,0.004682883,1.222819084,26.12101206,0.00170068,0.155122655,0.599309421
7,"Yes",-26.1418,31.9766,0.4375,0.019791667,1.15,8.359183673,0.015625,0,0.546875,0.599134823,0.005369588,1.711945785,3.132610343,0.007364301,0.006591822,0.386909053
6,"Yes",-26.1446,31.9834,0.28125,0.017708333,1.125,19.88349515,0,0.625,0.09375,0.694149758,0.004768771,1.502466693,2.137588886,0.003398908,0.006488825,0.295962509
16,"Yes",-26.26473,31.7491,1,0.015740741,1,1,0,0,0,0.881693649,0.003175592,1.222307692,1.311381987,0,0.09469697,0.023609381
1,"Yes",-25.97086,31.70913,0.902777778,0.016666667,1.058823529,1.226982249,0,0.097222222,0,0.702904522,0.005482885,1.404153487,2.36373288,0.155062313,0.061540838,0.080492327
2,"Yes",-25.98668,31.81784,0.09375,0.00625,1.2,113.7777778,0,0,0.90625,0.40333711,0.003292478,1.392366762,9.679632102,0.002935421,0.004325883,0.589401586
2,"Yes",-25.98668,31.81784,0.09375,0.00625,1.2,113.7777778,0,0,0.90625,0.40333711,0.003292478,1.392366762,9.679632102,0.002935421,0.004325883,0.589401586
2,"Yes",-25.98668,31.81784,0.09375,0.00625,1.2,113.7777778,0,0,0.90625,0.40333711,0.003292478,1.392366762,9.679632102,0.002935421,0.004325883,0.589401586
